Fold1,Mean±Std
53.33,53.33±nan
44.17,44.17±nan
77.50,77.50±nan
88.33,88.33±nan
95.83,95.83±nan
94.17,94.17±nan
95.83,95.83±nan
91.67,91.67±nan
80.83,80.83±nan
41.67,41.67±nan
76.33,76.33±20.60
