Fold1,Mean±Std
73.33,73.33±nan
30.00,30.00±nan
76.67,76.67±nan
83.33,83.33±nan
83.33,83.33±nan
100.00,100.00±nan
100.00,100.00±nan
93.33,93.33±nan
66.67,66.67±nan
36.67,36.67±nan
74.33,74.33±23.00
