Fold1,Mean±Std
83.33,83.33±nan
30.00,30.00±nan
66.67,66.67±nan
80.00,80.00±nan
83.33,83.33±nan
100.00,100.00±nan
100.00,100.00±nan
93.33,93.33±nan
83.33,83.33±nan
40.00,40.00±nan
76.00,76.00±22.65
