Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
40.62,40.62±nan,100.0,64.0,0.001,0.0001,True
27.34,27.34±nan,,,,,
61.72,61.72±nan,,,,,
80.47,80.47±nan,,,,,
92.19,92.19±nan,,,,,
84.38,84.38±nan,,,,,
92.97,92.97±nan,,,,,
92.19,92.19±nan,,,,,
88.28,88.28±nan,,,,,
72.66,72.66±nan,,,,,
73.28,73.28±21.94,,,,,
