Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
57.03,57.03±nan,100.0,64.0,0.001,0.0001,True
49.22,49.22±nan,,,,,
78.91,78.91±nan,,,,,
97.66,97.66±nan,,,,,
96.88,96.88±nan,,,,,
98.44,98.44±nan,,,,,
97.66,97.66±nan,,,,,
100.00,100.00±nan,,,,,
99.22,99.22±nan,,,,,
90.62,90.62±nan,,,,,
86.56,86.56±17.82,,,,,
