Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
45.31,45.31±nan,100.0,64.0,0.001,0.0001,True
28.91,28.91±nan,,,,,
65.62,65.62±nan,,,,,
82.03,82.03±nan,,,,,
95.31,95.31±nan,,,,,
89.84,89.84±nan,,,,,
94.53,94.53±nan,,,,,
92.19,92.19±nan,,,,,
92.19,92.19±nan,,,,,
80.47,80.47±nan,,,,,
76.64,76.64±21.80,,,,,
