Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
46.09,46.09±nan,100.0,64.0,0.001,0.0001,True
27.34,27.34±nan,,,,,
60.94,60.94±nan,,,,,
79.69,79.69±nan,,,,,
94.53,94.53±nan,,,,,
85.94,85.94±nan,,,,,
92.97,92.97±nan,,,,,
97.66,97.66±nan,,,,,
91.41,91.41±nan,,,,,
78.12,78.12±nan,,,,,
75.47,75.47±22.23,,,,,
