Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
36.72,36.72±nan,100.0,64.0,0.001,0.0001,True
25.78,25.78±nan,,,,,
56.25,56.25±nan,,,,,
78.12,78.12±nan,,,,,
90.62,90.62±nan,,,,,
81.25,81.25±nan,,,,,
96.09,96.09±nan,,,,,
91.41,91.41±nan,,,,,
86.72,86.72±nan,,,,,
69.53,69.53±nan,,,,,
71.25,71.25±22.96,,,,,
