Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
53.91,53.91±nan,100.0,64.0,0.001,0.0001,True
51.56,51.56±nan,,,,,
76.56,76.56±nan,,,,,
98.44,98.44±nan,,,,,
89.84,89.84±nan,,,,,
99.22,99.22±nan,,,,,
97.66,97.66±nan,,,,,
98.44,98.44±nan,,,,,
96.88,96.88±nan,,,,,
82.03,82.03±nan,,,,,
84.45,84.45±17.46,,,,,
