Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
46.88,46.88±nan,100.0,64.0,0.001,0.0001,True
39.84,39.84±nan,,,,,
56.25,56.25±nan,,,,,
91.41,91.41±nan,,,,,
81.25,81.25±nan,,,,,
90.62,90.62±nan,,,,,
94.53,94.53±nan,,,,,
96.09,96.09±nan,,,,,
89.84,89.84±nan,,,,,
76.56,76.56±nan,,,,,
76.33,76.33±19.91,,,,,
