Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
33.59,33.59±nan,100.0,64.0,0.001,0.0001,True
25.78,25.78±nan,,,,,
41.41,41.41±nan,,,,,
69.53,69.53±nan,,,,,
74.22,74.22±nan,,,,,
78.12,78.12±nan,,,,,
86.72,86.72±nan,,,,,
91.41,91.41±nan,,,,,
69.53,69.53±nan,,,,,
61.72,61.72±nan,,,,,
63.20,63.20±21.28,,,,,
