Fold1,Mean±Std
80.00,80.00±nan
16.67,16.67±nan
53.33,53.33±nan
10.00,10.00±nan
96.67,96.67±nan
100.00,100.00±nan
100.00,100.00±nan
96.67,96.67±nan
23.33,23.33±nan
30.00,30.00±nan
60.67,60.67±35.99
