Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
72.92,72.92±nan,100.0,64.0,0.001,0.0001,True,40.0
66.15,66.15±nan,,,,,,
96.88,96.88±nan,,,,,,
73.96,73.96±nan,,,,,,
72.92,72.92±nan,,,,,,
93.23,93.23±nan,,,,,,
77.60,77.60±nan,,,,,,
69.27,69.27±nan,,,,,,
61.46,61.46±nan,,,,,,
78.12,78.12±nan,,,,,,
17.19,17.19±nan,,,,,,
50.00,50.00±nan,,,,,,
44.27,44.27±nan,,,,,,
76.04,76.04±nan,,,,,,
77.60,77.60±nan,,,,,,
57.81,57.81±nan,,,,,,
66.15,66.15±nan,,,,,,
71.35,71.35±nan,,,,,,
57.29,57.29±nan,,,,,,
64.06,64.06±nan,,,,,,
51.04,51.04±nan,,,,,,
95.31,95.31±nan,,,,,,
30.73,30.73±nan,,,,,,
92.19,92.19±nan,,,,,,
81.77,81.77±nan,,,,,,
75.52,75.52±nan,,,,,,
67.19,67.19±nan,,,,,,
84.38,84.38±nan,,,,,,
26.56,26.56±nan,,,,,,
63.54,63.54±nan,,,,,,
79.69,79.69±nan,,,,,,
98.44,98.44±nan,,,,,,
29.17,29.17±nan,,,,,,
87.50,87.50±nan,,,,,,
84.90,84.90±nan,,,,,,
68.35,68.35±20.12,,,,,,
