Fold1,Mean±Std
23.33,23.33±nan
15.83,15.83±nan
27.50,27.50±nan
75.00,75.00±nan
100.00,100.00±nan
100.00,100.00±nan
75.00,75.00±nan
100.00,100.00±nan
38.33,38.33±nan
91.67,91.67±nan
64.67,64.67±32.95
