Fold1,Mean±Std
78.75,78.75±nan
93.75,93.75±nan
99.58,99.58±nan
88.75,88.75±nan
86.67,86.67±nan
95.83,95.83±nan
92.92,92.92±nan
86.67,86.67±nan
77.92,77.92±nan
92.50,92.50±nan
22.08,22.08±nan
91.25,91.25±nan
63.33,63.33±nan
87.08,87.08±nan
84.58,84.58±nan
84.17,84.17±nan
90.00,90.00±nan
77.92,77.92±nan
58.33,58.33±nan
82.92,82.92±nan
74.58,74.58±nan
94.58,94.58±nan
48.75,48.75±nan
95.83,95.83±nan
92.50,92.50±nan
95.42,95.42±nan
90.00,90.00±nan
96.25,96.25±nan
44.58,44.58±nan
88.75,88.75±nan
92.92,92.92±nan
100.00,100.00±nan
41.67,41.67±nan
96.25,96.25±nan
91.67,91.67±nan
82.25,82.25±18.18
