Fold1,Mean±Std
81.25,81.25±nan
95.31,95.31±nan
99.48,99.48±nan
88.02,88.02±nan
92.71,92.71±nan
98.96,98.96±nan
94.27,94.27±nan
84.90,84.90±nan
79.69,79.69±nan
96.35,96.35±nan
20.83,20.83±nan
91.67,91.67±nan
68.23,68.23±nan
88.54,88.54±nan
90.62,90.62±nan
81.77,81.77±nan
90.10,90.10±nan
72.40,72.40±nan
61.46,61.46±nan
87.50,87.50±nan
73.44,73.44±nan
98.44,98.44±nan
54.69,54.69±nan
98.44,98.44±nan
97.92,97.92±nan
96.35,96.35±nan
89.58,89.58±nan
96.35,96.35±nan
52.08,52.08±nan
95.31,95.31±nan
96.35,96.35±nan
100.00,100.00±nan
45.83,45.83±nan
96.88,96.88±nan
92.71,92.71±nan
84.24,84.24±17.89
