Fold1,Mean±Std
19.17,19.17±nan
26.67,26.67±nan
91.67,91.67±nan
99.17,99.17±nan
68.33,68.33±nan
96.67,96.67±nan
92.50,92.50±nan
100.00,100.00±nan
100.00,100.00±nan
82.50,82.50±nan
77.67,77.67±28.93
