Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
49.22,49.22±nan,100.0,64.0,0.001,0.0001,True,12.0
42.19,42.19±nan,,,,,,
69.53,69.53±nan,,,,,,
95.31,95.31±nan,,,,,,
94.53,94.53±nan,,,,,,
94.53,94.53±nan,,,,,,
95.31,95.31±nan,,,,,,
97.66,97.66±nan,,,,,,
92.97,92.97±nan,,,,,,
87.50,87.50±nan,,,,,,
81.88,81.88±19.70,,,,,,
