Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
38.28,38.28±nan,100.0,64.0,0.001,0.0001,True,12.0
27.34,27.34±nan,,,,,,
48.44,48.44±nan,,,,,,
75.00,75.00±nan,,,,,,
89.84,89.84±nan,,,,,,
77.34,77.34±nan,,,,,,
89.84,89.84±nan,,,,,,
89.06,89.06±nan,,,,,,
79.69,79.69±nan,,,,,,
67.19,67.19±nan,,,,,,
68.20,68.20±21.42,,,,,,
