Fold1,Mean±Std
74.17,74.17±nan
72.50,72.50±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
94.67,94.67±10.67
