Fold1,Mean±Std
11.67,11.67±nan
8.33,8.33±nan
16.67,16.67±nan
27.50,27.50±nan
20.00,20.00±nan
45.00,45.00±nan
35.83,35.83±nan
67.50,67.50±nan
13.33,13.33±nan
20.00,20.00±nan
26.58,26.58±17.37
