Fold1,Mean±Std
43.33,43.33±nan
44.17,44.17±nan
86.67,86.67±nan
100.00,100.00±nan
77.50,77.50±nan
100.00,100.00±nan
88.33,88.33±nan
100.00,100.00±nan
97.50,97.50±nan
82.50,82.50±nan
82.00,82.00±20.55
